"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000101290",1758.73428502496,1.54278858926362,0.0593647011467736,25.9883156060909,6.71263294942753e-149,5.53771371641593e-147,"8760","8760","8760"
"ENSG00000109321",3907.19054249844,7.47916568575078,0.288067503948618,25.9632398074474,1.28882642605824e-148,1.05667855499417e-146,"374","374","374"
"ENSG00000171241",406.777106119105,-3.16904946166188,0.122070239622006,-25.9608686890018,1.37078315694846e-148,1.11697803009751e-146,"79801","79801","79801"
"ENSG00000117143",1623.79807423536,-1.69881008409127,0.0654948355807514,-25.9380769342758,2.47859524658132e-148,2.00735988201787e-146,"6675","6675","6675"
"ENSG00000109189",2091.9060865614,1.46009439540867,0.0564005266970053,25.8879567428968,9.10101351513847e-148,7.32604009139813e-146,"64854","64854","64854"
"ENSG00000100219",1292.73730450521,-1.75354079004318,0.0680929396030134,-25.7521675560851,3.04817865095797e-146,2.43891017120625e-144,"7494","7494","7494"
"ENSG00000085117",3114.20548141785,1.42948721589912,0.0555892497833348,25.7151737336032,7.90870734618808e-146,6.29002700431557e-144,"3732","3732","3732"
"ENSG00000178105",1002.41705891287,1.80810694689761,0.0704607333410967,25.6611996662689,3.17075578749228e-145,2.50678442675431e-143,"1662","1662","1662"
"ENSG00000166833",556.856531079937,-2.37849635519757,0.0927223172716844,-25.6518217532072,4.03472812711103e-145,3.17096207007625e-143,"89797","89797","89797"
"ENSG00000116017",1240.61918348325,1.61350564336073,0.0631747224783643,25.5403677303578,7.02505263455578e-144,5.4886322995394e-142,"1820","1820","1820"
"ENSG00000134333",9887.50008844397,-1.01643876298967,0.0399092566560226,-25.4687470566125,4.37694408821119e-143,3.39968253681994e-141,"3939","3939","3939"
"ENSG00000157227",22662.7967620428,1.09977078455295,0.0432456015794241,25.4308124846671,1.15105416920226e-142,8.88854736938632e-141,"4323","4323","4323"
"ENSG00000110047",3014.55720899113,-1.20896280400628,0.0475817894773724,-25.4080987135048,2.05225810764246e-142,1.57561226506978e-140,"10938","10938","10938"
"ENSG00000119139",934.406871097792,-1.97318713035674,0.0778644050882613,-25.3413241662873,1.12003944831542e-141,8.54963445547438e-140,"9414","9414","9414"
"ENSG00000151012",4009.60870282584,1.45373711876253,0.057370975929429,25.3392433231525,1.18077963045657e-141,8.9617800295567e-140,"23657","23657","23657"
"ENSG00000138764",921.332962951573,1.91577863791987,0.0756562969106494,25.3221306903564,1.82270771147906e-141,1.37552294453778e-139,"901","901","901"
"ENSG00000127955",1237.15518256482,1.61939317784934,0.0639623161318088,25.3179258629756,2.02780727750095e-141,1.52165741580608e-139,"2770","2770","2770"
"ENSG00000130340",2836.38350867057,1.32524630304937,0.0524198978743998,25.2813598802636,5.12178079158946e-141,3.82176924010624e-139,"51429","51429","51429"
"ENSG00000164465",2941.35331768419,1.62320824404924,0.0642298429195902,25.2718700570597,6.51265410251243e-141,4.83246211114916e-139,"285761","285761","285761"
"ENSG00000112186",594.764952135933,-2.53739972611774,0.100514391088674,-25.2441436359022,1.31333594764918e-140,9.69096003148687e-139,"10486","10486","10486"
"ENSG00000184117",601.648439964638,-2.19697539179186,0.0871669356441222,-25.204228823203,3.60011777916174e-140,2.64181018468654e-138,"8508","8508","8508"
"ENSG00000197594",381.182790486167,-3.06358241585873,0.121586494661129,-25.1967327818535,4.34996123812524e-140,3.17451566839447e-138,"5167","5167","5167"
"ENSG00000071127",10996.1867655617,-1.00326415009437,0.0398296835045016,-25.1888556930407,5.30645766699042e-140,3.85138637885064e-138,"9948","9948","9948"
"ENSG00000013810",552.986640142839,-2.5451243870722,0.101690780310313,-25.0280741214263,3.02562026341291e-138,2.18403740970925e-136,"10460","10460","10460"
"ENSG00000122729",2756.95550510449,-1.26419481282,0.0506813932139176,-24.9439633098492,2.48303339221786e-137,1.78268375759122e-135,"48","48","48"
